mediamatch_userevent.phone_no,mediamatch_userevent.run_name,mediamatch_userevent.run_time,mediamatch_userevent.owner_name,mediamatch_userevent.owner_code,mediamatch_userevent.open_time,mediamatch_userevent.sm_name
2018891,正常,2017/5/22 20:41,HC级,00,2007-06-17 13:25:57,数字电视
2026892,欠费暂停,2010/8/18 10:52,HC级,00,2008-07-25 12:05:43,数字电视
2020336,主动暂停,2018/3/9 10:31,HC级,00,2007-06-25 11:45:50,数字电视
2035030,正常,1997/9/1 0:00,HC级,00,1997-08-01 00:00:00,模拟有线电视
2048031,正常,2007/3/5 10:10,HC级,00,2007-03-11 10:10:52,珠江宽频
2018164,正常,2009/2/28 17:21,HC级,00,2007-05-14 14:42:57,数字电视
2034454,正常,1994/1/1 0:00,HC级,00,1994-01-01 00:00:00,模拟有线电视
2042050,正常,2009/2/28 17:31,HC级,00,2008-01-10 14:58:13,数字电视
2021403,正常,2006/11/1 10:35,HC级,00,2006-11-15 10:35:59,模拟有线电视
2040780,正常,2008/9/20 14:12,HC级,00,2008-09-20 14:13:37,模拟有线电视
2027733,正常,2009/2/28 0:54,HC级,00,2007-06-14 16:31:39,互动电视
2021901,正常,2013/4/1 22:08,HC级,00,2007-04-22 10:12:56,珠江宽频
2012582,主动暂停,2010/7/29 9:52,HC级,00,2001-05-01 00:00:00,模拟有线电视
2024854,欠费暂停,2018/4/19 8:40,HC级,00,2007-12-28 17:27:35,数字电视
2018248,正常,2007/5/16 17:03,HC级,00,2007-05-16 16:58:27,模拟有线电视
2019321,欠费暂停,2008/3/9 21:04,HC级,00,2007-06-04 11:32:26,数字电视
2043961,正常,2007/10/25 11:00,HC级,00,2007-10-25 10:59:38,模拟有线电视
2044833,正常,2009/2/28 12:19,HC级,00,2007-05-11 15:31:24,甜果电视
2019186,正常,2009/2/28 17:57,HC级,00,2007-05-31 13:40:45,甜果电视
2028602,正常,2009/2/28 0:26,HC级,00,2008-09-19 17:15:12,数字电视
2041845,正常,2007/10/21 10:17,HC级,00,2007-10-21 10:16:55,模拟有线电视
2017320,主动暂停,2013/6/22 11:04,HC级,00,2007-04-06 13:53:54,数字电视
2014823,正常,2004/1/1 0:00,HC级,00,2004-01-01 00:00:00,模拟有线电视
2048705,主动暂停,2016/7/20 10:29,HC级,00,2007-06-09 14:31:39,数字电视
2014601,正常,1996/3/1 0:00,HC级,00,1996-02-01 00:00:00,模拟有线电视
2039039,正常,2009/2/28 18:31,HC级,00,2007-06-05 15:59:17,数字电视
2019680,主动暂停,2016/1/10 9:04,HC级,00,2007-06-28 10:13:55,数字电视
2027262,正常,2017/11/28 0:37,HC级,00,2007-11-30 12:04:27,互动电视
2028358,正常,2014/11/16 13:05,HC级,00,2007-12-03 14:11:08,互动电视
2029327,正常,1994/10/1 0:00,HC级,00,1994-10-01 00:00:00,模拟有线电视
2018020,正常,2009/2/28 14:23,HC级,00,2007-05-11 08:54:19,数字电视
2022538,主动销户,1992/10/20 0:00,HC级,00,1992-10-20 00:00:00,模拟有线电视
2013221,主动销户,2001/10/1 0:00,HC级,00,2001-09-26 00:00:00,模拟有线电视
2025740,主动销户,1998/1/1 0:00,HC级,00,1998-01-01 00:00:00,模拟有线电视
2015567,主动销户,1994/6/1 0:00,HC级,00,1994-06-01 00:00:00,模拟有线电视
2028847,正常,2016/5/24 13:51,HC级,00,2008-04-14 10:47:11,互动电视
2031242,正常,1994/7/18 0:00,HC级,00,1994-07-18 00:00:00,模拟有线电视
2012740,正常,2003/12/12 0:00,HC级,00,2003-12-12 00:00:00,模拟有线电视
2017923,正常,2016/7/20 17:00,HC级,00,2007-04-01 15:12:13,数字电视
2023144,正常,2004/6/1 0:00,HC级,00,2000-09-11 00:00:00,模拟有线电视
2013235,正常,1994/5/12 0:00,HC级,00,1994-05-11 00:00:00,模拟有线电视
2026130,正常,2001/1/1 0:00,HC级,00,2000-12-01 00:00:00,模拟有线电视
2030952,正常,1994/6/1 0:00,HC级,00,1994-05-01 00:00:00,模拟有线电视
2045313,正常,2014/9/24 14:23,HC级,00,2007-05-20 13:59:13,甜果电视
2035279,正常,2009/2/28 19:57,HC级,00,2007-11-30 14:41:52,甜果电视
2047661,正常,2009/2/28 18:32,HC级,00,2007-07-07 10:51:53,互动电视
2019048,正常,2009/2/28 17:54,HC级,00,2007-05-26 16:25:33,甜果电视
2032820,正常,1999/9/30 0:00,HC级,00,1999-09-30 00:00:00,模拟有线电视
2026050,正常,1999/2/8 0:00,HC级,00,1999-02-08 00:00:00,模拟有线电视
2015281,正常,2005/10/1 11:13,HC级,00,2005-10-10 11:08:13,模拟有线电视
2015281,正常,2005/10/1 11:13,HC级,00,2005-10-10 11:08:13,模拟有线电视
2041100,正常,2009/2/28 15:06,HC级,00,2007-12-11 11:11:29,甜果电视
2020828,正常,2009/2/28 19:14,HC级,00,2007-09-08 09:39:33,互动电视
2048391,欠费暂停,2015/8/20 10:08,HC级,00,2007-04-09 13:23:40,数字电视
2042898,主动暂停,2014/10/28 11:15,HC级,00,2007-04-24 14:31:29,数字电视
2048269,正常,2009/2/28 16:22,HC级,00,2007-04-04 15:23:24,数字电视
2047914,主动暂停,2011/9/9 10:59,HC级,00,2007-05-30 14:38:26,数字电视
2019994,正常,2018/5/23 3:23,HC级,00,2007-07-13 10:32:17,数字电视
2035349,正常,2015/5/22 15:17,HC级,00,2007-04-22 13:48:35,数字电视
2021635,主动暂停,2008/11/26 15:01,HC级,00,2007-04-05 15:05:10,数字电视
2025880,正常,2003/9/1 0:00,HC级,00,2003-08-16 00:00:00,模拟有线电视
2035395,主动暂停,2018/5/30 9:20,HC级,00,2008-11-14 17:42:59,数字电视
2046192,正常,2009/2/28 18:20,HC级,00,2007-06-04 14:50:35,数字电视
2026242,正常,1995/10/18 0:00,HC级,00,1995-10-18 00:00:00,模拟有线电视
2026242,正常,1995/10/18 0:00,HC级,00,1995-10-18 00:00:00,模拟有线电视
2035391,正常,2002/1/1 0:00,HC级,00,1999-06-01 00:00:00,模拟有线电视
2012607,正常,1994/5/1 0:00,HC级,00,1994-05-01 00:00:00,模拟有线电视
2020186,主动暂停,2016/12/31 12:16,HC级,00,2007-07-12 12:44:07,模拟有线电视
2043897,主动暂停,2014/4/23 10:29,HC级,00,2007-07-09 09:02:15,数字电视
2039344,欠费暂停,2012/9/17 10:18,HC级,00,2007-06-14 14:46:45,数字电视
2039344,欠费暂停,2012/9/17 10:18,HC级,00,2007-06-14 14:46:45,数字电视
2045825,正常,2012/12/9 10:06,HC级,00,2007-02-14 15:55:55,珠江宽频
2024043,正常,2005/1/1 0:00,HC级,00,2004-12-25 15:39:30,模拟有线电视
2013597,主动销户,2002/9/1 0:00,HC级,00,2002-09-01 00:00:00,模拟有线电视
2013906,主动销户,1996/1/1 0:00,HC级,00,1995-12-28 00:00:00,模拟有线电视
2013312,主动销户,2000/1/1 0:00,HC级,00,2000-01-01 00:00:00,模拟有线电视
2024377,主动销户,2011/3/10 19:16,HC级,00,2006-04-13 18:03:12,模拟有线电视
2016001,主动销户,1999/1/1 0:00,HC级,00,1999-01-01 00:00:00,模拟有线电视
2044324,主动销户,2011/3/10 19:16,HC级,00,2005-04-26 16:46:43,模拟有线电视
2031938,主动销户,1993/3/1 0:00,HC级,00,1993-03-01 00:00:00,模拟有线电视
2029657,主动暂停,2015/10/22 11:30,HC级,00,2008-10-20 11:32:18,数字电视
2020158,欠费暂停,2018/3/22 12:22,HC级,00,2007-07-10 14:40:34,甜果电视
2024342,正常,2005/5/1 17:56,HC级,00,2005-04-26 17:56:15,模拟有线电视
2046610,主动暂停,2009/5/31 22:53,HC级,00,2007-05-19 15:11:27,数字电视
2031992,正常,2009/2/28 18:56,HC级,00,2008-03-25 09:50:51,数字电视
2037910,正常,2009/2/28 16:45,HC级,00,2007-07-08 08:54:15,互动电视
2028692,正常,2007/12/27 11:46,HC级,00,2007-12-27 11:46:34,模拟有线电视
2047027,正常,2009/2/28 17:39,HC级,00,2007-07-06 10:47:08,互动电视
2019991,正常,2018/1/25 15:35,HC级,00,2007-07-06 12:40:34,数字电视
2013024,正常,1993/10/7 0:00,HC级,00,1993-10-07 00:00:00,模拟有线电视
2040322,正常,2008/2/3 16:29,HC级,00,2008-02-03 16:29:36,模拟有线电视
2015956,正常,1993/6/19 0:00,HC级,00,1993-06-19 00:00:00,模拟有线电视
2014132,正常,1997/12/26 0:00,HC级,00,1997-12-26 00:00:00,模拟有线电视
2035627,正常,2009/2/28 18:03,HC级,00,2007-06-28 16:03:50,甜果电视
2029532,正常,1994/8/1 0:00,HC级,00,1994-08-01 00:00:00,模拟有线电视
2043297,主动销户,2016/12/26 15:37,HC级,00,2007-06-20 10:28:58,数字电视
2028191,正常,2009/12/28 13:07,HC级,00,2008-08-29 15:26:40,数字电视
2037248,正常,2009/2/28 18:08,HC级,00,2007-06-30 10:27:08,数字电视
2028869,正常,2008/9/28 16:46,HC级,00,2008-09-28 16:43:09,数字电视
2032080,正常,2004/7/22 16:23,HC级,00,2004-12-02 16:23:51,模拟有线电视
2013771,正常,1995/11/1 0:00,HC级,00,1995-11-01 00:00:00,模拟有线电视
2026144,正常,2001/5/1 0:00,HC级,00,2001-04-26 00:00:00,模拟有线电视
2015201,正常,1994/6/1 0:00,HC级,00,1994-05-01 00:00:00,模拟有线电视
2023512,正常,1996/5/1 0:00,HC级,00,1996-04-01 00:00:00,模拟有线电视
2034354,正常,2007/6/9 15:43,HC级,00,1995-06-01 00:00:00,模拟有线电视
2025968,正常,2001/1/1 0:00,HC级,00,2000-11-01 00:00:00,模拟有线电视
2025860,正常,2003/10/1 0:00,HC级,00,2003-10-01 00:00:00,模拟有线电视
2048745,主动暂停,2016/6/18 12:28,HC级,05,2007-06-11 08:49:51,数字电视
2029672,正常,1994/5/1 0:00,HC级,00,1994-05-01 00:00:00,模拟有线电视
2036553,正常,2009/2/28 19:48,HC级,00,2007-12-29 12:22:25,数字电视
2033434,正常,1999/1/1 0:00,HC级,00,1998-07-01 00:00:00,模拟有线电视
2015966,正常,1995/11/1 0:00,HC级,00,1995-11-01 00:00:00,模拟有线电视
2041471,正常,2007/9/26 16:00,HC级,00,2007-09-26 15:59:14,模拟有线电视
2032363,正常,1994/4/1 0:00,HC级,00,1994-04-01 00:00:00,模拟有线电视
2038767,正常,2009/2/28 0:43,HC级,00,2007-05-31 11:49:57,数字电视
2031462,正常,1994/7/1 0:00,HC级,00,1994-07-01 00:00:00,模拟有线电视
