phone_no	owner_name	optdate	prodname	sm_name	offerid	offername	business_name	owner_code	prodprcid	prodprcname	effdate	expdate	orderdate	cost	mode_time	prodstatus	run_name	orderno	offertype
2030339	HC级	2014/11/17 13:07	所有基本节目_回看	互动电视	GZ100727	全时移回看-包月	到期暂停状态	0	R2298	全时移回看包(0元/月)	2012/11/1 0:00	2012/12/31 23:59	2012/10/17 11:07	0	Y	YD	正常	197723803	1
2030339	HE级	2014/11/17 13:07	东方财经	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2014/11/17 13:07	所有基本节目_时移	互动电视	GZ100736	全时移回看-1月-0元	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2012/9/30 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2015/1/29 16:50	所有基本节目_时移	互动电视	GZ122216	互动标准包(副卡)	正常状态	NULL	NULL	NULL	2015/1/1 0:00	2050/1/1 0:00	2015/1/29 16:50	NULL	N	YY	正常	2052582282	0
2030339	HE级	2015/1/29 16:50	个人用户免费专区_点播	互动电视	65548	优惠购机一(499元)(26.5元/月)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2014/12/31 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	0
2030339	HE级	2014/11/17 13:07	风云剧场	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HC级	2014/11/17 13:07	所有基本节目_回看	互动电视	GZ100736	全时移回看-1月-0元	到期暂停状态	0	R2693	全时移回看包(0元一个月)	2012/8/29 0:00	2012/9/30 23:59	2012/8/29 22:18	0	Y	YD	正常	190511544	1
2030339	HC级	2014/11/17 13:07	所有基本节目_回看	互动电视	GZ100869	奥运抽奖专用-全时移回看包(0元/月)	到期暂停状态	0	R1994	奥运抽奖专用-全时移回看包(0元/月)	2013/1/1 0:00	2013/1/31 23:59	2012/10/23 11:26	0	Y	YD	正常	198126020	1
2030339	HC级	2015/1/29 16:50	标清直播基本包_广州	互动电视	65548	优惠购机一(499元)(26.5元/月)	到期暂停状态	0	R2628	互动499购机-26.5元	2012/8/29 0:00	2014/12/31 23:59	2012/8/29 22:18	26.5	Y	YD	正常	190511544	0
2030339	HE级	2014/11/17 13:07	所有基本节目_时移	互动电视	GZ100727	全时移回看-包月-0元	到期暂停状态	NULL	NULL	NULL	2012/11/1 0:00	2012/12/31 23:59	2012/10/17 11:07	NULL	N	YD	正常	197723803	1
2030339	HE级	2015/1/29 16:50	互动虚拟包	互动电视	65548	优惠购机一(499元)(26.5元/月)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2014/12/31 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	0
2030339	HC级	2014/11/16 13:06	广州基本点播组	互动电视	GZ101369	支持单片点播权限(按片付费)	正常状态	0	R3259	0资费	2012/8/29 0:00	2050/1/1 0:00	2012/8/29 22:18	0	Y	BY	正常	190511544	1
2030525	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2043065	HC级	2010/2/1 0:59	有线电视	模拟有线电视	BO000569	有线电视－普通包(5元/月)	到期暂停状态	0	R0369	有线电视－普通包(5元/月)	2009/12/1 0:00	2010/1/31 23:59	2009/11/27 0:00	5	Y	YD	正常	1456454	0
2043065	HC级	2010/1/31 21:15	有线电视	模拟有线电视	BO000330	有线电视－普通包 (0元/月)	正常状态	0	R1672	有线电视－普通包 (0元/月)	2010/2/1 0:00	2030/1/1 23:59	2010/1/31 21:15	0	Y	YY	正常	76438271	0
2002230	HC级	2013/9/4 10:16	有线电视	模拟有线电视	BO000565	有线电视－普通包(月租0元)	正常状态	0	R0365	有线电视－普通包(月租0元)	2013/9/4 0:00	2050/1/1 0:00	2013/9/4 10:16	0	Y	YY	正常	242676750	0
2009847	HC级	2014/1/30 11:43	基本包	数字电视	GZ100224	租机租卡－押200(26.5元/月 租金0元)	销户状态	NULL	R1343	租机租卡－押200(26.5元/月 租金0元)	2014/1/30 0:00	2050/1/1 0:00	2014/1/30 11:43	26.5	Y	YI	主动销户	265602768	0
2012649	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2017497	HC级	2017/12/1 0:34	18套付费频道	互动电视	GZ122560	互动+联合宽带-59元包	到期暂停状态	NULL	NULL	NULL	2015/12/7 16:08	2017/11/30 23:59	2015/12/7 16:08	NULL	N	YD	正常	2103971153	0
2017497	HC级	2016/10/31 5:02	院线大片_点播	互动电视	GZ123183	院线大片-次月起五折-首月	到期暂停状态	0	121767	院线大片-包月-99元-次月起五折	2016/9/24 0:00	2016/10/31 0:00	2016/9/24 8:55	99	Y	YD	正常	2150977196	1
2017497	HC级	2015/12/7 16:08	广州基本点播组	互动电视	GZ101369	支持单片点播权限(按片付费)	正常状态	0	120303	支持单片点播权限(按片付费)	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	0	Y	YY	正常	2103971153	1
2017497	HE级	2015/12/7 16:08	高尔夫.网球频道	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HE级	2015/12/7 16:08	广州个人用户免费专区点播	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
